jobid,stem,rows,final_iter,final_rt,final_error,final_rel_l1err_archived
5432905,PrabMartNet_Counter_Example_d100_te1.0_s41f_d100_s1,2001,2000.0,38.536022,0.006077561,
5432906,PrabMartNet_Counter_Example_d100_te1.0_s41f_d100_s2,2001,2000.0,38.106552,0.0053194,
5432907,PrabMartNet_Counter_Example_d100_te1.0_s41f_d100_s3,2001,2000.0,35.343117,0.005336734,
5432908,PrabMartNet_Counter_Example_d100_te1.0_s41f_d100_s4,2001,2000.0,28.389984,0.00830782,
5432910,PrabMartNet_Counter_Example_d1000_te1.0_s41f_d1000_s1,2001,2000.0,102.27164,0.006425538,
5432911,PrabMartNet_Counter_Example_d1000_te1.0_s41f_d1000_s2,2001,2000.0,100.38919,0.007502083,
5432912,PrabMartNet_Counter_Example_d1000_te1.0_s41f_d1000_s3,2001,2000.0,107.31755,0.005950271,
5432931,PrabMartNet_Counter_Example_d1000_te1.0_s41f_d1000_s4,2001,2000.0,106.23819,0.0058986545,
5432932,PrabMartNet_Non-deg_HJB_d100_te1.0_s42f_t1.0_d100_s1,2001,2000.0,39.60532,0.019433582,
5432933,PrabMartNet_Non-deg_HJB_d100_te1.0_s42f_t1.0_d100_s2,2001,2000.0,39.94473,0.013222643,
5432934,PrabMartNet_Non-deg_HJB_d100_te1.0_s42f_t1.0_d100_s3,2001,2000.0,40.645905,0.0133794,
5432935,PrabMartNet_Non-deg_HJB_d100_te1.0_s42f_t1.0_d100_s4,2001,2000.0,35.29017,0.01363348,
5432936,PrabMartNet_Non-deg_HJB_d100_te0.1_s42f_t0.1_d100_s1,2001,2000.0,22.434496,0.0035610576,
5432937,PrabMartNet_Non-deg_HJB_d100_te0.1_s42f_t0.1_d100_s2,2001,2000.0,22.324797,0.0035171756,
5432938,PrabMartNet_Non-deg_HJB_d100_te0.1_s42f_t0.1_d100_s3,2001,2000.0,22.067678,0.0021976703,
5432940,PrabMartNet_Non-deg_HJB_d100_te0.1_s42f_t0.1_d100_s4,2001,2000.0,41.54734,0.0033457058,
5432941,PrabMartNet_Non-deg_HJB_d100_te0.05_s42f_t0.05_d100_s1,2001,2000.0,42.95114,0.006327503,
5432943,PrabMartNet_Non-deg_HJB_d100_te0.05_s42f_t0.05_d100_s2,2001,2000.0,40.179787,0.0053195967,
5432944,PrabMartNet_Non-deg_HJB_d100_te0.05_s42f_t0.05_d100_s3,2001,2000.0,34.256542,0.004692438,
5432945,PrabMartNet_Non-deg_HJB_d100_te0.05_s42f_t0.05_d100_s4,2001,2000.0,42.68444,0.0056020804,
5432946,PrabMartNet_Non-deg_HJB_d100_te0.01_s42f_t0.01_d100_s1,2001,2000.0,22.499432,0.021006519,
5432947,PrabMartNet_Non-deg_HJB_d100_te0.01_s42f_t0.01_d100_s2,2001,2000.0,21.883368,0.020562978,
5432948,PrabMartNet_Non-deg_HJB_d100_te0.01_s42f_t0.01_d100_s3,2001,2000.0,22.082333,0.019614853,
5432950,PrabMartNet_Non-deg_HJB_d100_te0.01_s42f_t0.01_d100_s4,2001,2000.0,27.717556,0.020377986,
5432963,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n6_d100_s1,6001,6000.0,51.6964,0.034304634,
5432964,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n6_d100_s2,6001,6000.0,50.281765,0.029756563,
5432965,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n6_d100_s3,6001,6000.0,50.093235,0.032054067,
5432966,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n6_d100_s4,6001,6000.0,51.17476,0.031889316,
5432967,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n8_d100_s1,6001,6000.0,51.70923,0.02448726,
5432968,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n8_d100_s2,6001,6000.0,51.931316,0.021331994,
5432969,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n8_d100_s3,6001,6000.0,52.801006,0.023686131,
5432970,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n8_d100_s4,6001,6000.0,52.999813,0.021762768,
5432971,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n12_d100_s1,6001,6000.0,50.85161,0.01868067,
5432972,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n12_d100_s2,6001,6000.0,53.218098,0.017142022,
5432973,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n12_d100_s3,6001,6000.0,52.82464,0.014282938,
5432974,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n12_d100_s4,6001,6000.0,65.01692,0.017044896,
5432975,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n18_d100_s1,6001,6000.0,65.45098,0.010509307,
5432976,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n18_d100_s2,6001,6000.0,65.19416,0.008971896,
5432977,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n18_d100_s3,6001,6000.0,51.605583,0.009195522,
5432978,PrabMartNet_LinearSinAC_d100_te1.0_s43i6kf_n18_d100_s4,6001,6000.0,51.954807,0.013061629,
