cell,config,arch_anchor,s0,s1,s2,s3,s4,mean,sd,ratio_vs_arch,jobids
hjb2_d1e4,b64_lr4x_I6000,0.00728,0.01437,0.01289,0.01503,0.01325,0.01382,0.01387,0.00086,1.91,496434;500699;500701;500703;500705
hjb3_d1e4,b64_lr4x_I6000,0.02086,0.03220,0.02519,0.02479,0.03205,0.02764,0.02838,0.00359,1.36,496436;500700;500702;500704;500706
