t2b256_g1_d100|6000.0,153.6,137.20863,0.011287512,2.6591424e-05,0.06341803,0.14019737,-0.5502618,1.2421459e-05
t2b256_g2_d100|6000.0,153.6,141.94226,0.008793577,3.2177846e-05,0.06688043,0.15415335,-0.5502618,1.732025e-05
t2b256_g4_d100|6000.0,153.6,160.36798,0.009287872,3.6258156e-05,0.06485765,0.14495516,-0.5502618,2.0499294e-05
t2b256_g8_d100|6000.0,153.6,160.67134,0.006814057,1.8805189e-05,0.05912852,0.17077553,-0.5502618,1.649185e-05
t2b256_g1_d500|6000.0,153.6,746.331,0.00017377228,5.1020397e-06,0.051690318,0.13057195,-0.5482244,1.1298826e-05
t2b256_g2_d500|6000.0,153.6,418.67188,-0.0019160042,4.81153e-06,0.058642756,0.13439223,-0.5482244,9.760465e-06
t2b256_g4_d500|6000.0,153.6,239.51118,0.0020380074,6.4373003e-06,0.059701927,0.13216129,-0.5482244,8.257784e-06
t2b256_g8_d500|6000.0,153.6,163.85281,-0.00855618,6.127833e-06,0.054659028,0.13138561,-0.5482244,8.5625425e-06
t2b256_g1_d800|6000.0,153.6,1841.3728,0.0010378313,2.5441216e-06,0.07980073,0.15929458,-0.54823,8.365849e-06
t2b256_g2_d800|6000.0,153.6,970.3669,0.011339636,3.3569274e-06,0.07909746,0.1728627,-0.54823,1.0787655e-05
t2b256_g4_d800|6000.0,153.6,533.27234,-0.0030734944,5.404198e-06,0.087091334,0.21040738,-0.54823,9.3596445e-06
t2b256_g8_d800|6000.0,153.6,308.57608,-0.029570872,5.554221e-06,0.079931036,0.17989948,-0.54823,9.873562e-06
t2b256_g1_d1000|6000.0,153.6,2545.3743,-0.0017777705,9.05049e-05,0.14213434,0.32332292,-0.54808253,8.666563e-06
t2b256_g2_d1000|6000.0,153.6,1314.0197,0.013990259,8.115583e-05,0.14352533,0.31217533,-0.54808253,9.596867e-06
t2b256_g4_d1000|6000.0,153.6,708.86633,0.04118636,0.00014131003,0.15353365,0.31144053,-0.54808253,9.53782e-06
t2b256_g8_d1000|6000.0,153.6,397.94302,0.0021770643,0.00010042164,0.14476596,0.2953734,-0.54808253,1.0819749e-05
t2b256_g1_d2000|6000.0,153.6,9527.929,0.006370845,0.0001503649,0.14574791,0.31042695,-0.5480115,7.009463e-06
t2b256_g2_d2000|6000.0,153.6,4867.6465,-0.015957072,0.00011071619,0.13510993,0.26029342,-0.5480115,7.2478942e-06
t2b256_g4_d2000|6000.0,153.6,2509.734,0.013229568,0.0001382628,0.13643284,0.31263655,-0.5480115,7.3012457e-06
t2b256_g8_d2000|6000.0,153.6,1368.5083,0.0033808826,0.00015950856,0.13337682,0.28259686,-0.5480115,6.943897e-06
t2b128_g1_d100|6000.0,76.8,111.39596,0.0070142862,4.286315e-05,0.050165847,0.11582099,-0.5502618,2.0222595e-05
t2b128_g2_d100|6000.0,76.8,136.1236,-0.010850868,7.055738e-05,0.046977364,0.115321815,-0.5502618,1.5830687e-05
t2b128_g4_d100|6000.0,76.8,150.40216,-0.006062791,6.505132e-05,0.049081434,0.09830994,-0.5502618,1.9905343e-05
t2b128_g8_d100|6000.0,76.8,152.10701,0.01658464,4.5009536e-05,0.057932884,0.11973847,-0.5502618,1.7417151e-05
t2b128_g1_d500|6000.0,76.8,409.6759,0.0061483774,5.9931913e-06,0.039982643,0.098530084,-0.5482244,9.780073e-06
t2b128_g2_d500|6000.0,76.8,230.4404,-0.009289633,9.965689e-06,0.04004123,0.09305833,-0.5482244,8.828447e-06
t2b128_g4_d500|6000.0,76.8,151.16159,0.01074837,1.1708036e-05,0.044045486,0.11645422,-0.5482244,9.335161e-06
t2b128_g8_d500|6000.0,76.8,155.59117,-0.013011857,7.967983e-06,0.05547938,0.121557705,-0.5482244,7.9517895e-06
t2b128_g1_d800|6000.0,76.8,960.9768,0.008952352,8.8902025e-06,0.05791828,0.16333473,-0.54823,7.825458e-06
t2b128_g2_d800|6000.0,76.8,517.4534,-0.0024563172,8.6510145e-06,0.051062584,0.12088595,-0.54823,6.9454513e-06
t2b128_g4_d800|6000.0,76.8,295.4604,-0.011417739,7.803062e-06,0.059212588,0.12723204,-0.54823,7.0334827e-06
t2b128_g8_d800|6000.0,76.8,194.07689,0.002329601,5.7327647e-06,0.043180484,0.10627708,-0.54823,6.803493e-06
t2b128_g1_d1000|6000.0,76.8,1299.525,0.0010563034,0.00010521653,0.13888356,0.31805164,-0.54808253,1.0572467e-05
t2b128_g2_d1000|6000.0,76.8,701.3492,-0.0129210185,0.00028202578,0.14534585,0.31212628,-0.54808253,1.1134481e-05
t2b128_g4_d1000|6000.0,76.8,387.62692,-0.017480751,6.5436e-05,0.12930614,0.28395107,-0.54808253,1.11311e-05
t2b128_g8_d1000|6000.0,76.8,235.3443,-0.0039775246,0.00018976472,0.14980917,0.3163937,-0.54808253,1.28006195e-05
t2b128_g1_d2000|6000.0,76.8,4811.7437,-0.0017610192,0.00016059312,0.12785181,0.28489706,-0.5480115,9.5194055e-06
t2b128_g2_d2000|6000.0,76.8,2500.7832,0.0037781154,0.0001380456,0.117891036,0.25255352,-0.5480115,8.975684e-06
t2b128_g4_d2000|6000.0,76.8,1354.1265,-0.001636978,0.000110989204,0.12843993,0.286059,-0.5480115,9.136202e-06
t2b128_g8_d2000|6000.0,76.8,773.817,-0.06072786,0.00019633796,0.123736724,0.26768035,-0.5480115,8.688697e-06
