s,v_true_ref,v_pred_eps1.0,v_pred_eps0.5,v_pred_eps0.25,v_pred_eps0.125
0.5151515,-0.53156066,-1.0183094750000001,-1.0444564,-0.7973081,-0.6765295
0.53535354,-0.49265355,-0.9896188075000001,-1.0174065,-0.76718533,-0.6446027
0.5555556,-0.45337936,-0.9603128750000001,-0.9894965,-0.736625,-0.6121383
0.57575756,-0.4139203,-0.9302679650000001,-0.9605898,-0.7057297,-0.57913446
0.5959596,-0.37452397,-0.899713525,-0.93016464,-0.6744629,-0.54633486
0.61616164,-0.33528605,-0.868919575,-0.8992553,-0.6427958,-0.5137393
0.6363636,-0.29655045,-0.8376739350000001,-0.86779076,-0.61041963,-0.48107105
0.65656567,-0.25850633,-0.80646024,-0.83659816,-0.5779872,-0.4487955
0.6767677,-0.22122903,-0.7751874249999999,-0.8055099,-0.5454005,-0.4161873
0.6969697,-0.18501438,-0.7435601074999999,-0.774199,-0.51219505,-0.38307178
0.7171717,-0.14993833,-0.7121227324999999,-0.74316865,-0.4787047,-0.35038328
0.7373737,-0.11617597,-0.68133289,-0.71297956,-0.4457276,-0.3186402
0.75757575,-0.08383619,-0.6509337575,-0.6833973,-0.41290438,-0.28727385
0.7777778,-0.052989718,-0.6209879975,-0.6537447,-0.38054156,-0.25630853
0.7979798,-0.023741953,-0.5920531600000001,-0.6252424,-0.34870756,-0.22620648
0.8181818,0.003849994,-0.563791635,-0.5977024,-0.3177433,-0.19660294
0.83838385,0.0297653,-0.535952165,-0.5706798,-0.28714472,-0.16705814
0.85858583,0.054023284,-0.508545505,-0.54385316,-0.2569623,-0.13817456
0.8787879,0.07661904,-0.4820118685,-0.5174807,-0.22796194,-0.110170834
0.8989899,0.09756295,-0.4562520975,-0.49177632,-0.19954114,-0.08285773
0.9191919,0.11692924,-0.4310990765,-0.46656153,-0.17211936,-0.056086816
0.93939394,0.13479847,-0.40639586,-0.44169852,-0.14508986,-0.03003686
0.959596,0.15118271,-0.38212340225,-0.41699204,-0.11854379,-0.004844729
0.97979796,0.16620864,-0.3583076005,-0.3925614,-0.092805095,0.019895993
1.0,0.17998035,-0.33499041999999996,-0.3684272,-0.06757386,0.04383763
