d,T,jobid,RE_final
100,1.0,495819,0.0061479355
100,0.5,495820,0.0064374064
100,0.1,495821,0.011849245
100,0.01,495822,0.031555578
1000,1.0,495823,0.0054836045
1000,0.5,495824,0.0069766412
1000,0.1,495825,0.019420138
1000,0.01,495826,0.11387818
2000,1.0,495827,0.0029046172
2000,0.5,496077,0.002607714
2000,0.1,496078,0.019567767
2000,0.01,496079,0.09238763
